#    <A>=  0.153177  sigmaA= 0.000483
#    <B>=-16.230694  sigmaB= 0.020037
#  rhoAB= -0.290333
#    a39=  0.000462     b39=  0.020038
#    a95=  0.001130     b95=  0.049042
#  tht39=  0.400918   tht95=  0.400918
#
#       A39       B39         A95       B95
     0.153514 -16.248488   0.154002 -16.274246
     0.153518 -16.248371   0.154012 -16.273959
     0.153523 -16.248251   0.154023 -16.273665
     0.153527 -16.248129   0.154033 -16.273365
     0.153531 -16.248003   0.154043 -16.273058
     0.153535 -16.247875   0.154053 -16.272744
     0.153539 -16.247744   0.154063 -16.272424
     0.153543 -16.247610   0.154073 -16.272097
     0.153547 -16.247474   0.154082 -16.271763
     0.153551 -16.247335   0.154092 -16.271423
     0.153555 -16.247194   0.154101 -16.271077
     0.153559 -16.247049   0.154110 -16.270724
     0.153562 -16.246903   0.154119 -16.270365
     0.153566 -16.246753   0.154128 -16.269999
     0.153569 -16.246602   0.154137 -16.269627
     0.153573 -16.246447   0.154146 -16.269250
     0.153576 -16.246290   0.154154 -16.268866
     0.153580 -16.246131   0.154162 -16.268476
     0.153583 -16.245969   0.154170 -16.268080
     0.153586 -16.245805   0.154178 -16.267678
     0.153590 -16.245639   0.154186 -16.267271
     0.153593 -16.245470   0.154194 -16.266857
     0.153596 -16.245298   0.154201 -16.266438
     0.153599 -16.245125   0.154209 -16.266013
     0.153602 -16.244949   0.154216 -16.265583
     0.153605 -16.244771   0.154223 -16.265147
     0.153607 -16.244591   0.154230 -16.264706
     0.153610 -16.244408   0.154236 -16.264259
     0.153613 -16.244224   0.154243 -16.263807
     0.153615 -16.244037   0.154249 -16.263350
     0.153618 -16.243848   0.154255 -16.262888
     0.153620 -16.243657   0.154261 -16.262420
     0.153623 -16.243464   0.154267 -16.261948
     0.153625 -16.243269   0.154273 -16.261471
     0.153627 -16.243072   0.154278 -16.260988
     0.153629 -16.242873   0.154284 -16.260501
     0.153631 -16.242672   0.154289 -16.260010
     0.153633 -16.242469   0.154294 -16.259513
     0.153635 -16.242264   0.154298 -16.259012
     0.153637 -16.242058   0.154303 -16.258507
     0.153639 -16.241850   0.154307 -16.257997
     0.153641 -16.241640   0.154312 -16.257483
     0.153642 -16.241428   0.154316 -16.256965
     0.153644 -16.241214   0.154320 -16.256443
     0.153646 -16.240999   0.154323 -16.255916
     0.153647 -16.240783   0.154327 -16.255386
     0.153648 -16.240564   0.154330 -16.254851
     0.153650 -16.240344   0.154333 -16.254313
     0.153651 -16.240123   0.154336 -16.253771
     0.153652 -16.239900   0.154339 -16.253225
     0.153653 -16.239676   0.154342 -16.252676
     0.153654 -16.239450   0.154344 -16.252124
     0.153655 -16.239223   0.154346 -16.251568
     0.153656 -16.238994   0.154348 -16.251008
     0.153657 -16.238764   0.154350 -16.250446
     0.153657 -16.238533   0.154352 -16.249880
     0.153658 -16.238301   0.154353 -16.249312
     0.153658 -16.238067   0.154355 -16.248740
     0.153659 -16.237833   0.154356 -16.248166
     0.153659 -16.237597   0.154357 -16.247588
     0.153660 -16.237360   0.154358 -16.247009
     0.153660 -16.237122   0.154358 -16.246426
     0.153660 -16.236883   0.154358 -16.245841
     0.153660 -16.236643   0.154359 -16.245254
     0.153660 -16.236402   0.154359 -16.244664
     0.153660 -16.236160   0.154359 -16.244072
     0.153660 -16.235918   0.154358 -16.243478
     0.153660 -16.235674   0.154358 -16.242882
     0.153659 -16.235430   0.154357 -16.242285
     0.153659 -16.235185   0.154356 -16.241685
     0.153658 -16.234939   0.154355 -16.241083
     0.153658 -16.234693   0.154354 -16.240480
     0.153657 -16.234446   0.154352 -16.239876
     0.153657 -16.234198   0.154350 -16.239270
     0.153656 -16.233950   0.154349 -16.238662
     0.153655 -16.233701   0.154346 -16.238054
     0.153654 -16.233452   0.154344 -16.237444
     0.153653 -16.233202   0.154342 -16.236833
     0.153652 -16.232952   0.154339 -16.236221
     0.153651 -16.232702   0.154336 -16.235608
     0.153650 -16.232451   0.154334 -16.234995
     0.153648 -16.232200   0.154330 -16.234380
     0.153647 -16.231949   0.154327 -16.233766
     0.153646 -16.231698   0.154324 -16.233150
     0.153644 -16.231446   0.154320 -16.232535
     0.153643 -16.231194   0.154316 -16.231919
     0.153641 -16.230943   0.154312 -16.231303
     0.153639 -16.230691   0.154308 -16.230686
