#rho0,E/A
1.565183224432164788e-01,-1.575032286541121707e+01
1.556177094345767287e-01,-1.572132680845594521e+01
1.560978367572284364e-01,-1.578241247837152272e+01
1.576236981468668585e-01,-1.581363345314260904e+01
1.550393855681675426e-01,-1.573998432283871551e+01
1.581499696990130988e-01,-1.580152676952627999e+01
1.562637863177367137e-01,-1.573332082527404907e+01
1.563527083354680491e-01,-1.572692571135920581e+01
1.563673375046703284e-01,-1.574209539050257334e+01
1.559605862731515413e-01,-1.572666263198525805e+01
1.555362954516721907e-01,-1.578039295710800616e+01
1.557313823653420359e-01,-1.573998059832090135e+01
1.552213338960717059e-01,-1.570593733999810482e+01
1.553298949504760273e-01,-1.576928900253864185e+01
1.559996755410358871e-01,-1.574658018473451726e+01
1.575746106884289566e-01,-1.569669172876883145e+01
1.574885443396213669e-01,-1.575973923761062423e+01
1.560778516424146112e-01,-1.579528450414243501e+01
1.564506419298389572e-01,-1.576020932759822024e+01
1.558460033484221630e-01,-1.574097971284124853e+01
1.557773971205574648e-01,-1.571687465584045640e+01
1.552352626262443747e-01,-1.576314954948380098e+01
1.566661025932949147e-01,-1.572691292920119466e+01
1.570144870129773773e-01,-1.581660784184602164e+01
1.550138389784812554e-01,-1.576410416469113329e+01
1.565594976059959953e-01,-1.574978900800816284e+01
1.561968784608220584e-01,-1.572185364645573280e+01
1.565606548385658492e-01,-1.574639377592110279e+01
1.580146988179595702e-01,-1.576048509439314493e+01
1.565723602770657252e-01,-1.574739625821095323e+01
1.557673508534924978e-01,-1.575306953894551398e+01
1.555945393024471823e-01,-1.574317637619720500e+01
1.559152527380613940e-01,-1.575229071873710929e+01
1.569596607013098999e-01,-1.573469089463054438e+01
1.569285294724673818e-01,-1.572755590901805611e+01
1.568330955542538985e-01,-1.573116695870454684e+01
1.552945110184260069e-01,-1.570126375713038591e+01
1.560419658872405080e-01,-1.573304999290707329e+01
1.561335439956447191e-01,-1.575824996448814730e+01
1.555962677573736463e-01,-1.577558761860342429e+01
1.554641672504861183e-01,-1.574260891900571657e+01
1.570870271558923725e-01,-1.582095146967125920e+01
1.567190478441403412e-01,-1.574805417996199530e+01
1.555004640085949352e-01,-1.571379479523851685e+01
1.559100809775816887e-01,-1.573077940825901067e+01
1.558900990603372394e-01,-1.570554490982874007e+01
1.566405333890878993e-01,-1.572503964274231514e+01
1.559699140105005044e-01,-1.573055577616767486e+01
1.553685375298273774e-01,-1.574684711822985506e+01
1.566608973223289625e-01,-1.569052045428241904e+01
1.559024760794105735e-01,-1.576842497727185766e+01
1.562682340859327668e-01,-1.573228779643112141e+01
1.564541614095104061e-01,-1.578510930363341735e+01
1.593444748888936668e-01,-1.577949700394464827e+01
1.566338701972614933e-01,-1.568927926020120545e+01
1.556647206023012986e-01,-1.571394761332484791e+01
