#    <A>=  0.153179  sigmaA= 0.000488
#    <B>=-16.230452  sigmaB= 0.020383
#  rhoAB= -0.308590
#    a39=  0.000464     b39=  0.020384
#    a95=  0.001135     b95=  0.049890
#  tht39=  0.423243   tht95=  0.423243
#
#       A39       B39         A95       B95
     0.153185 -16.249916   0.153194 -16.278091
     0.153192 -16.249991   0.153209 -16.278273
     0.153198 -16.250062   0.153224 -16.278448
     0.153204 -16.250131   0.153239 -16.278615
     0.153210 -16.250196   0.153254 -16.278775
     0.153216 -16.250258   0.153269 -16.278927
     0.153222 -16.250317   0.153284 -16.279071
     0.153228 -16.250373   0.153299 -16.279208
     0.153234 -16.250426   0.153314 -16.279337
     0.153240 -16.250475   0.153329 -16.279458
     0.153246 -16.250521   0.153344 -16.279572
     0.153253 -16.250565   0.153358 -16.279678
     0.153259 -16.250605   0.153373 -16.279775
     0.153265 -16.250642   0.153388 -16.279866
     0.153271 -16.250675   0.153403 -16.279948
     0.153277 -16.250706   0.153417 -16.280023
     0.153283 -16.250733   0.153432 -16.280089
     0.153289 -16.250757   0.153447 -16.280148
     0.153295 -16.250778   0.153461 -16.280199
     0.153301 -16.250795   0.153476 -16.280242
     0.153306 -16.250810   0.153490 -16.280278
     0.153312 -16.250821   0.153505 -16.280305
     0.153318 -16.250829   0.153519 -16.280325
     0.153324 -16.250834   0.153534 -16.280337
     0.153330 -16.250835   0.153548 -16.280340
     0.153336 -16.250834   0.153562 -16.280336
     0.153342 -16.250829   0.153576 -16.280324
     0.153347 -16.250821   0.153590 -16.280305
     0.153353 -16.250810   0.153605 -16.280277
     0.153359 -16.250795   0.153618 -16.280241
     0.153364 -16.250777   0.153632 -16.280198
     0.153370 -16.250756   0.153646 -16.280147
     0.153376 -16.250732   0.153660 -16.280088
     0.153381 -16.250705   0.153674 -16.280021
     0.153387 -16.250674   0.153687 -16.279946
     0.153392 -16.250641   0.153701 -16.279863
     0.153398 -16.250604   0.153714 -16.279773
     0.153403 -16.250564   0.153728 -16.279675
     0.153409 -16.250520   0.153741 -16.279569
     0.153414 -16.250474   0.153754 -16.279455
     0.153420 -16.250424   0.153767 -16.279334
     0.153425 -16.250371   0.153780 -16.279205
     0.153430 -16.250315   0.153793 -16.279068
     0.153435 -16.250256   0.153806 -16.278923
     0.153441 -16.250194   0.153819 -16.278771
     0.153446 -16.250129   0.153831 -16.278611
     0.153451 -16.250061   0.153844 -16.278444
     0.153456 -16.249989   0.153856 -16.278269
     0.153461 -16.249914   0.153869 -16.278086
     0.153466 -16.249837   0.153881 -16.277896
     0.153471 -16.249756   0.153893 -16.277698
     0.153476 -16.249672   0.153905 -16.277493
     0.153481 -16.249585   0.153917 -16.277281
     0.153485 -16.249496   0.153928 -16.277061
     0.153490 -16.249403   0.153940 -16.276834
     0.153495 -16.249307   0.153951 -16.276599
     0.153500 -16.249208   0.153963 -16.276358
     0.153504 -16.249106   0.153974 -16.276109
     0.153509 -16.249002   0.153985 -16.275852
     0.153513 -16.248894   0.153996 -16.275589
     0.153518 -16.248784   0.154007 -16.275318
     0.153522 -16.248670   0.154018 -16.275041
     0.153526 -16.248554   0.154028 -16.274756
     0.153531 -16.248435   0.154039 -16.274464
     0.153535 -16.248313   0.154049 -16.274165
     0.153539 -16.248188   0.154059 -16.273860
     0.153543 -16.248060   0.154070 -16.273548
     0.153547 -16.247930   0.154079 -16.273228
     0.153551 -16.247796   0.154089 -16.272902
     0.153555 -16.247661   0.154099 -16.272570
     0.153559 -16.247522   0.154108 -16.272230
     0.153563 -16.247381   0.154118 -16.271884
     0.153567 -16.247237   0.154127 -16.271532
     0.153570 -16.247090   0.154136 -16.271173
     0.153574 -16.246941   0.154145 -16.270808
     0.153577 -16.246789   0.154154 -16.270436
     0.153581 -16.246634   0.154162 -16.270058
     0.153584 -16.246477   0.154171 -16.269673
     0.153588 -16.246318   0.154179 -16.269283
     0.153591 -16.246156   0.154187 -16.268886
     0.153594 -16.245991   0.154195 -16.268484
     0.153598 -16.245824   0.154203 -16.268075
     0.153601 -16.245655   0.154210 -16.267660
     0.153604 -16.245483   0.154218 -16.267240
     0.153607 -16.245309   0.154225 -16.266813
     0.153610 -16.245132   0.154232 -16.266381
     0.153612 -16.244953   0.154239 -16.265943
     0.153615 -16.244772   0.154246 -16.265500
     0.153618 -16.244589   0.154253 -16.265051
     0.153621 -16.244403   0.154259 -16.264597
     0.153623 -16.244215   0.154266 -16.264137
     0.153626 -16.244025   0.154272 -16.263672
     0.153628 -16.243833   0.154278 -16.263202
     0.153630 -16.243639   0.154283 -16.262726
     0.153633 -16.243442   0.154289 -16.262246
