#    <A>=  0.150609  sigmaA= 0.000690
#    <B>=-16.280374  sigmaB= 0.020707
#  rhoAB= -0.286052
#    a39=  0.000661     b39=  0.020708
#    a95=  0.001619     b95=  0.050683
#  tht39=  0.546922   tht95=  0.546922
#
#       A39       B39         A95       B95
     0.150880 -16.300948   0.151273 -16.330729
     0.150888 -16.300917   0.151292 -16.330653
     0.150896 -16.300883   0.151312 -16.330569
     0.150904 -16.300845   0.151331 -16.330477
     0.150912 -16.300804   0.151350 -16.330377
     0.150920 -16.300760   0.151369 -16.330270
     0.150927 -16.300713   0.151388 -16.330154
     0.150935 -16.300663   0.151407 -16.330030
     0.150943 -16.300609   0.151425 -16.329899
     0.150950 -16.300552   0.151444 -16.329760
     0.150958 -16.300492   0.151462 -16.329613
     0.150965 -16.300429   0.151481 -16.329458
     0.150973 -16.300363   0.151499 -16.329296
     0.150980 -16.300293   0.151517 -16.329126
     0.150987 -16.300220   0.151534 -16.328948
     0.150995 -16.300145   0.151552 -16.328762
     0.151002 -16.300066   0.151570 -16.328569
     0.151009 -16.299984   0.151587 -16.328368
     0.151016 -16.299899   0.151604 -16.328160
     0.151023 -16.299810   0.151621 -16.327944
     0.151030 -16.299719   0.151638 -16.327721
     0.151037 -16.299625   0.151655 -16.327490
     0.151043 -16.299527   0.151672 -16.327252
     0.151050 -16.299427   0.151688 -16.327006
     0.151057 -16.299324   0.151704 -16.326753
     0.151063 -16.299217   0.151720 -16.326492
     0.151070 -16.299108   0.151736 -16.326225
     0.151076 -16.298995   0.151752 -16.325950
     0.151083 -16.298880   0.151768 -16.325667
     0.151089 -16.298762   0.151783 -16.325378
     0.151095 -16.298641   0.151798 -16.325082
     0.151101 -16.298517   0.151813 -16.324778
     0.151107 -16.298390   0.151828 -16.324468
     0.151113 -16.298260   0.151843 -16.324150
     0.151119 -16.298128   0.151857 -16.323826
     0.151125 -16.297992   0.151871 -16.323495
     0.151131 -16.297854   0.151885 -16.323157
     0.151136 -16.297713   0.151899 -16.322812
     0.151142 -16.297570   0.151913 -16.322460
     0.151147 -16.297423   0.151926 -16.322102
     0.151153 -16.297274   0.151939 -16.321738
     0.151158 -16.297123   0.151952 -16.321366
     0.151163 -16.296968   0.151965 -16.320989
     0.151168 -16.296811   0.151978 -16.320604
