#    <A>=  0.149819  sigmaA= 0.000491
#    <B>=-16.346358  sigmaB= 0.021260
#  rhoAB= -0.411681
#    a39=  0.000447     b39=  0.021261
#    a95=  0.001094     b95=  0.052035
#  tht39=  0.544546   tht95=  0.544546
#
#       A39       B39         A95       B95
     0.149440 -16.351908   0.148892 -16.359941
     0.149444 -16.352165   0.148901 -16.360571
     0.149448 -16.352422   0.148911 -16.361199
     0.149452 -16.352677   0.148921 -16.361824
     0.149456 -16.352932   0.148931 -16.362447
     0.149460 -16.353186   0.148941 -16.363068
     0.149465 -16.353438   0.148952 -16.363686
     0.149469 -16.353689   0.148962 -16.364301
     0.149473 -16.353940   0.148973 -16.364913
     0.149478 -16.354189   0.148984 -16.365523
     0.149482 -16.354436   0.148995 -16.366129
     0.149487 -16.354683   0.149006 -16.366732
     0.149491 -16.354928   0.149017 -16.367332
     0.149496 -16.355172   0.149028 -16.367929
     0.149500 -16.355414   0.149039 -16.368522
     0.149505 -16.355655   0.149051 -16.369112
     0.149510 -16.355895   0.149063 -16.369698
     0.149515 -16.356133   0.149074 -16.370281
     0.149520 -16.356369   0.149086 -16.370860
     0.149524 -16.356604   0.149098 -16.371435
     0.149529 -16.356837   0.149110 -16.372005
     0.149534 -16.357069   0.149123 -16.372572
     0.149539 -16.357299   0.149135 -16.373135
     0.149545 -16.357527   0.149147 -16.373694
     0.149550 -16.357753   0.149160 -16.374248
     0.149555 -16.357978   0.149173 -16.374798
     0.149560 -16.358201   0.149185 -16.375343
     0.149565 -16.358422   0.149198 -16.375884
     0.149571 -16.358641   0.149211 -16.376420
     0.149576 -16.358858   0.149224 -16.376951
     0.149581 -16.359073   0.149238 -16.377477
     0.149587 -16.359286   0.149251 -16.377999
     0.149592 -16.359497   0.149264 -16.378516
     0.149598 -16.359706   0.149278 -16.379027
     0.149603 -16.359913   0.149291 -16.379533
     0.149609 -16.360118   0.149305 -16.380034
     0.149614 -16.360320   0.149318 -16.380530
     0.149620 -16.360521   0.149332 -16.381021
